player_id,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
1020250,30,82,56,15,32,42,25,111,12,40
1020339,10,381,2,238,16,61,43,46,36,12
1020371,0,3,2,5,5,3,14,1,1,5
1020586,12,80,8,56,7,38,1,53,7,19
1020594,11,80,11,48,29,26,20,66,10,92
1020650,9,150,15,32,6,92,302,10,18,19
1020668,78,75,47,104,61,102,56,86,23,47
1020670,160,1860,155,820,30,4497,3,3103,3,1263
1020802,1,58,5,32,2,23,4,13,4,3
1020855,11662,14,2168,174,2682,169,319,1436,164,1569
1020881,9,6,57,9,9,25,35,11,28,4
1020895,56,32,951,7,55,640,520,25,735,14
1020950,1,10,26,5,2,4,1,11,1,3
1020959,1,4,2,4,5,3,4,1,1,3
1020968,9,338,12,88,16,42,6,53,1,36
1020979,0,2,2,7,3,7,0,5,0,1
1021013,1,41,0,16,4,15,1,17,1,7
1021015,92,364,42,332,82,103,45,201,155,16
1021031,2,29,3,20,15,9,14,8,4,0
1021103,4515,7,3685,165,31,6364,191,772,9,1307
1021108,21,69,93,61,17,40,26,46,507,15
1021122,0,26,3,17,3,11,2,9,6,7
1021152,114,7,19,46,4,77,5,79,4,44
1021200,1,10,3,8,1,7,0,8,10,2
1021353,145,4,17,56,33,13,0,243,0,68
1021660,7,7,2,11,8,7,6,6,5,0
1022371,2,6,346,0,111,28,141,17,476,5
1022383,157,2,57,30,32,27,9,33,8,2
1022410,3,25,4,14,1,14,7,8,2,4
1022447,4,9,2,6,1,3,2,2,3,3
1022452,1728,29,110,8142,54,14775,108,4010,57,2025
1022473,3,3,4,8,2,5,9,3,8,1
1022601,4,6,0,5,4,0,4,2,1,5
1022607,132,1871,93,1333,349,392,447,194,59,1192
1022844,3,9,16,8,3,10,7,5,10,5
1022915,0,97,2,85,3,36,27,27,7,37
1022927,6,11,4,14,3,12,7,7,9,3
1022999,852,46,570,67,697,66,134,189,43,75
1023017,32,54,10,50,6,41,12,29,48,12
1023025,29,29,14,41,13,56,19,42,18,39
1023047,2,4,7,8,3,1,2,2,1,1
1023056,20,30,11,40,12,25,46,18,6,18
1023142,14,18,742,4,71,27,62,33,7,249
1023144,9,34,29,12,13,35,8,84,24,31
1023167,29,14,48,4,6,28,1,60,3,44
1023174,12,5,2,7,2,6,3,5,11,3
1023261,219,492,131,2923,2910,73,624,617,10702,29
1023266,136,2342,3475,25,354,886,257,2626,86,5528
1023270,6,6,196,0,22,39,11,49,22,14
1023272,17,24,22,2,22,2,7,7,1,11
1023275,21,6,9,3,22,4,9,2,1,15
1023346,41,668,15,493,10,352,21,205,9,112
1023473,99,38,130,31,78,127,135,34,16,111
1023477,0,41,1,22,0,10,3,7,7,2
1023482,31,50,96,14,48,85,512,28,31,96
1023486,129,24,23,100,6,64,9,39,7,19
1023487,4,11,11,5,0,11,5,7,8,3
1023489,1,15,1,12,2,6,1,3,3,0
1023492,32,1379,40,857,26,782,56,461,61,309
1023494,5,67,10,72,7,76,59,35,34,14
1023495,42,1739,7,5641,11,2454,79,142,107,98
1023496,8,25,6,8,7,10,4,19,2,5
1023500,13,130,103,20,1277,1,219,43,64,128
1023515,59,70,85,124,17,303,120,55,829,3
1023517,51,1205,250,643,1739,45,5314,31,822,58
1023518,425,63,321,145,82,734,655,112,450,63
1023530,446,39,54,106,73,86,95,67,17,185
1023533,2,37,0,27,0,26,1,27,0,13
